Degree,Major,Specialization,CGPA,Skills,Certifications,Experience,Preferred_Industry,Job_Role
M.Tech,Information Technology,Cloud Security,6.89,"Penetration Testing, Firewalls, Cyber Threat Analysis, Networking, Linux, Ethical Hacking, Risk Assessment","CompTIA Security+, CCNA Security, CEH (Certified Ethical Hacker)",0.2,Government/Defense,Cyber Security Analyst
BCA,Information Technology,Network Defense,7.57,"SIEM Tools, Cryptography, Cyber Threat Analysis, Risk Assessment, Penetration Testing, Linux, Python","CEH (Certified Ethical Hacker), Cybersecurity Fundamentals, ISO 27001 Certification",4.8,IT Services,Cyber Security Analyst
B.Sc,Cybersecurity,Cyber Security,9.12,"Networking, SIEM Tools, Risk Assessment, Cyber Threat Analysis","CompTIA Security+, CISSP, CEH (Certified Ethical Hacker)",2.4,Banking,Cyber Security Analyst
M.Tech,Network Security,Cyber Security,9.83,"Risk Assessment, Cyber Threat Analysis, Ethical Hacking, SIEM Tools, Cryptography, Python",Cybersecurity Fundamentals,2.8,IT Services,Cyber Security Analyst
B.Tech,Network Security,Network Defense,6.9,"SIEM Tools, Networking, Linux, Ethical Hacking, Cryptography, Firewalls","CEH (Certified Ethical Hacker), CompTIA Security+, ISO 27001 Certification",0.8,Cybersecurity,Cyber Security Analyst
B.Tech,Data Science,Digital Forensics,8.9,"Cryptography, Ethical Hacking, Firewalls, Risk Assessment, Linux",CEH (Certified Ethical Hacker),2.8,IT Services,Cyber Security Analyst
B.Tech,Network Security,Digital Forensics,8.74,"Linux, Python, Ethical Hacking, Firewalls, Cyber Threat Analysis, Penetration Testing, Cryptography","CCNA Security, CompTIA Security+",1.2,Banking,Cyber Security Analyst
BCA,Network Security,Digital Forensics,6.62,"Risk Assessment, Networking, Cryptography, SIEM Tools, Linux, Penetration Testing",Cybersecurity Fundamentals,4.8,FinTech,Cyber Security Analyst
B.Tech,Computer Science,Digital Forensics,8.91,"Penetration Testing, Python, Networking, Firewalls","Cybersecurity Fundamentals, CompTIA Security+",3.5,Cybersecurity,Cyber Security Analyst
BCA,Data Science,Network Defense,6.74,"Linux, Risk Assessment, Penetration Testing, Ethical Hacking","CompTIA Security+, CCNA Security",3.3,Cybersecurity,Cyber Security Analyst
M.Tech,Cybersecurity,Information Security,9.66,"Cyber Threat Analysis, Penetration Testing, SIEM Tools, Risk Assessment, Python, Cryptography","CEH (Certified Ethical Hacker), CCNA Security, ISO 27001 Certification",0.8,IT Services,Cyber Security Analyst
BCA,Computer Science,Network Defense,9.79,"Linux, Firewalls, Ethical Hacking, SIEM Tools, Cyber Threat Analysis, Python","CCNA Security, CEH (Certified Ethical Hacker)",4.2,IT Services,Cyber Security Analyst
BCA,Data Science,Network Defense,9.27,"Risk Assessment, Penetration Testing, Firewalls, Linux, SIEM Tools","CompTIA Security+, CEH (Certified Ethical Hacker), CISSP",4.4,IT Services,Cyber Security Analyst
MCA,Cybersecurity,Digital Forensics,7.7,"SIEM Tools, Cyber Threat Analysis, Risk Assessment, Python",CCNA Security,2.9,Cybersecurity,Cyber Security Analyst
B.Sc,Cybersecurity,Digital Forensics,6.78,"SIEM Tools, Cryptography, Cyber Threat Analysis, Risk Assessment","CCNA Security, CISSP, CEH (Certified Ethical Hacker)",3.9,Cybersecurity,Cyber Security Analyst
BCA,Computer Science,Cyber Security,8.5,"Penetration Testing, Python, Risk Assessment, Ethical Hacking, Firewalls, Linux","ISO 27001 Certification, CCNA Security, Cybersecurity Fundamentals",2.4,Banking,Cyber Security Analyst
MCA,Cybersecurity,Network Defense,8.32,"Linux, SIEM Tools, Penetration Testing, Python, Ethical Hacking","CISSP, Cybersecurity Fundamentals, ISO 27001 Certification",1.0,Cybersecurity,Cyber Security Analyst
B.Sc,Computer Science,Network Defense,7.37,"Networking, SIEM Tools, Linux, Ethical Hacking",CompTIA Security+,1.6,Banking,Cyber Security Analyst
MCA,Computer Science,Cyber Security,6.94,"Firewalls, SIEM Tools, Penetration Testing, Networking, Linux, Ethical Hacking, Cyber Threat Analysis","CCNA Security, Cybersecurity Fundamentals, ISO 27001 Certification",1.4,Government/Defense,Cyber Security Analyst
B.Tech,Cybersecurity,Digital Forensics,9.07,"Firewalls, Cyber Threat Analysis, Linux, Networking, Penetration Testing, Cryptography, Risk Assessment","CEH (Certified Ethical Hacker), CISSP",4.6,IT Services,Cyber Security Analyst
B.Sc,Network Security,Cloud Security,9.06,"Firewalls, Risk Assessment, Ethical Hacking, Linux, SIEM Tools, Networking","CompTIA Security+, CCNA Security",3.5,Cloud Security,Cyber Security Analyst
B.Tech,Network Security,Information Security,9.2,"Risk Assessment, Cryptography, Cyber Threat Analysis, Networking, Penetration Testing","CCNA Security, Cybersecurity Fundamentals, ISO 27001 Certification",4.7,Cybersecurity,Cyber Security Analyst
B.Sc,Data Science,Network Defense,7.84,"Penetration Testing, Cryptography, Networking, Linux, Python, Cyber Threat Analysis",CISSP,4.3,FinTech,Cyber Security Analyst
M.Tech,Cybersecurity,Cloud Security,7.26,"Penetration Testing, Cyber Threat Analysis, SIEM Tools, Ethical Hacking, Risk Assessment, Python",Cybersecurity Fundamentals,2.2,Cloud Security,Cyber Security Analyst
BCA,Network Security,Digital Forensics,7.24,"Cyber Threat Analysis, Linux, Networking, Risk Assessment, Python, Ethical Hacking","CompTIA Security+, Cybersecurity Fundamentals, CCNA Security",0.3,FinTech,Cyber Security Analyst
MCA,Information Technology,Network Defense,7.38,"SIEM Tools, Penetration Testing, Networking, Python","Cybersecurity Fundamentals, CEH (Certified Ethical Hacker), CCNA Security",3.0,Cloud Security,Cyber Security Analyst
BCA,Computer Science,Information Security,8.5,"Cryptography, Penetration Testing, Linux, SIEM Tools, Cyber Threat Analysis, Ethical Hacking",Cybersecurity Fundamentals,0.9,IT Services,Cyber Security Analyst
BCA,Computer Science,Network Defense,6.63,"Firewalls, Cryptography, Penetration Testing, Networking, SIEM Tools","ISO 27001 Certification, CISSP",0.4,Government/Defense,Cyber Security Analyst
BCA,Network Security,Cloud Security,9.77,"Firewalls, Cyber Threat Analysis, Risk Assessment, SIEM Tools, Python",CCNA Security,3.3,Banking,Cyber Security Analyst
BCA,Cybersecurity,Cyber Security,8.99,"Linux, Risk Assessment, Ethical Hacking, Cyber Threat Analysis","CCNA Security, ISO 27001 Certification",0.8,Cybersecurity,Cyber Security Analyst
B.Sc,Data Science,Cloud Security,6.96,"Ethical Hacking, Cyber Threat Analysis, Penetration Testing, Risk Assessment, Python, SIEM Tools","Cybersecurity Fundamentals, CISSP, CCNA Security",3.9,Government/Defense,Cyber Security Analyst
BCA,Network Security,Cloud Security,9.63,"Python, Penetration Testing, Networking, Risk Assessment, Cyber Threat Analysis, Linux",CISSP,3.8,Government/Defense,Cyber Security Analyst
M.Tech,Cybersecurity,Information Security,8.03,"Ethical Hacking, Python, Networking, Firewalls","CISSP, CompTIA Security+",3.3,Banking,Cyber Security Analyst
M.Tech,Data Science,Network Defense,6.93,"Cyber Threat Analysis, Linux, SIEM Tools, Risk Assessment, Python",CCNA Security,2.1,IT Services,Cyber Security Analyst
BCA,Data Science,Information Security,8.97,"Cyber Threat Analysis, Risk Assessment, Firewalls, Penetration Testing","CCNA Security, CISSP, CompTIA Security+",3.2,Government/Defense,Cyber Security Analyst
M.Tech,Information Technology,Information Security,7.2,"Networking, Cryptography, Cyber Threat Analysis, Penetration Testing, Python, Risk Assessment, Firewalls","CCNA Security, ISO 27001 Certification",2.8,Cybersecurity,Cyber Security Analyst
BCA,Network Security,Information Security,8.86,"Penetration Testing, SIEM Tools, Ethical Hacking, Linux, Risk Assessment","CCNA Security, CISSP",2.8,Cybersecurity,Cyber Security Analyst
BCA,Information Technology,Cloud Security,9.1,"Penetration Testing, SIEM Tools, Cyber Threat Analysis, Risk Assessment","CEH (Certified Ethical Hacker), CCNA Security, CISSP",1.0,Government/Defense,Cyber Security Analyst
B.Tech,Information Technology,Information Security,7.85,"Networking, Penetration Testing, Cryptography, Linux","Cybersecurity Fundamentals, CEH (Certified Ethical Hacker), CISSP",4.2,Cloud Security,Cyber Security Analyst
B.Tech,Information Technology,Network Defense,6.67,"Linux, Networking, Penetration Testing, Cyber Threat Analysis, Cryptography, Python, Firewalls",CEH (Certified Ethical Hacker),4.2,IT Services,Cyber Security Analyst
B.Sc,Computer Science,Information Security,7.76,"Ethical Hacking, Penetration Testing, Python, Risk Assessment, Firewalls, SIEM Tools, Networking","CompTIA Security+, CCNA Security, Cybersecurity Fundamentals",4.2,Banking,Cyber Security Analyst
B.Tech,Network Security,Cloud Security,8.36,"Penetration Testing, SIEM Tools, Python, Risk Assessment, Networking, Cryptography, Cyber Threat Analysis","CompTIA Security+, Cybersecurity Fundamentals, CCNA Security",1.1,Cybersecurity,Cyber Security Analyst
BCA,Computer Science,Digital Forensics,9.56,"Firewalls, Cryptography, Risk Assessment, Linux, Cyber Threat Analysis","CEH (Certified Ethical Hacker), CISSP, CCNA Security",4.6,Government/Defense,Cyber Security Analyst
B.Sc,Network Security,Cloud Security,8.02,"Cyber Threat Analysis, Penetration Testing, SIEM Tools, Networking","CCNA Security, CompTIA Security+, CISSP",3.5,Cloud Security,Cyber Security Analyst
MCA,Computer Science,Information Security,8.0,"Linux, Cyber Threat Analysis, SIEM Tools, Cryptography, Networking","CEH (Certified Ethical Hacker), CCNA Security",1.5,Cloud Security,Cyber Security Analyst
B.Tech,Information Technology,Cyber Security,7.88,"Risk Assessment, Ethical Hacking, SIEM Tools, Penetration Testing","CISSP, CEH (Certified Ethical Hacker), Cybersecurity Fundamentals",1.5,Cloud Security,Cyber Security Analyst
B.Tech,Network Security,Digital Forensics,7.62,"Python, Ethical Hacking, Cryptography, Networking, Penetration Testing",CEH (Certified Ethical Hacker),2.6,FinTech,Cyber Security Analyst
M.Tech,Cybersecurity,Digital Forensics,9.01,"Python, Linux, Firewalls, Ethical Hacking, Penetration Testing","Cybersecurity Fundamentals, ISO 27001 Certification, CompTIA Security+",0.8,Banking,Cyber Security Analyst
B.Sc,Cybersecurity,Digital Forensics,9.9,"Firewalls, Penetration Testing, Networking, Ethical Hacking, Cyber Threat Analysis, Cryptography, Linux","CISSP, Cybersecurity Fundamentals, CEH (Certified Ethical Hacker)",0.5,IT Services,Cyber Security Analyst
B.Tech,Data Science,Digital Forensics,8.01,"SIEM Tools, Python, Risk Assessment, Linux, Ethical Hacking, Cryptography","ISO 27001 Certification, CEH (Certified Ethical Hacker)",2.6,Cybersecurity,Cyber Security Analyst
B.Sc,Cybersecurity,Digital Forensics,7.76,"Python, SIEM Tools, Networking, Firewalls, Ethical Hacking, Penetration Testing, Linux",CEH (Certified Ethical Hacker),3.5,Banking,Cyber Security Analyst
BCA,Cybersecurity,Information Security,6.51,"Python, Cryptography, Penetration Testing, Linux, SIEM Tools",CompTIA Security+,1.9,Cybersecurity,Cyber Security Analyst
MCA,Information Technology,Network Defense,9.67,"Networking, Ethical Hacking, Cryptography, Cyber Threat Analysis, SIEM Tools, Firewalls","CCNA Security, CompTIA Security+, CISSP",4.9,Cloud Security,Cyber Security Analyst
M.Tech,Computer Science,Cyber Security,8.82,"Cryptography, Linux, Penetration Testing, Python, Ethical Hacking, Networking, Risk Assessment","CCNA Security, Cybersecurity Fundamentals, CEH (Certified Ethical Hacker)",4.4,Banking,Cyber Security Analyst
MCA,Cybersecurity,Network Defense,8.82,"Cyber Threat Analysis, SIEM Tools, Penetration Testing, Ethical Hacking","ISO 27001 Certification, CCNA Security, CISSP",3.9,Cybersecurity,Cyber Security Analyst
M.Tech,Computer Science,Network Defense,8.08,"Ethical Hacking, Networking, Linux, Penetration Testing, SIEM Tools, Cyber Threat Analysis, Risk Assessment","CompTIA Security+, CISSP, CEH (Certified Ethical Hacker)",3.1,Government/Defense,Cyber Security Analyst
B.Sc,Network Security,Network Defense,6.82,"Firewalls, Networking, Ethical Hacking, Penetration Testing, Python, SIEM Tools","ISO 27001 Certification, CompTIA Security+",0.7,Banking,Cyber Security Analyst
B.Sc,Network Security,Information Security,7.06,"Linux, Cyber Threat Analysis, SIEM Tools, Firewalls","CEH (Certified Ethical Hacker), Cybersecurity Fundamentals",2.0,Banking,Cyber Security Analyst
BCA,Cybersecurity,Cyber Security,6.96,"Risk Assessment, Firewalls, Cryptography, Python, SIEM Tools, Penetration Testing","Cybersecurity Fundamentals, CompTIA Security+, CCNA Security",1.0,Cybersecurity,Cyber Security Analyst
MCA,Computer Science,Cloud Security,7.8,"Python, Linux, Firewalls, Cyber Threat Analysis, Ethical Hacking",ISO 27001 Certification,2.8,Cybersecurity,Cyber Security Analyst
M.Tech,Computer Science,Cloud Security,7.42,"Networking, Ethical Hacking, Penetration Testing, Cyber Threat Analysis","Cybersecurity Fundamentals, CEH (Certified Ethical Hacker)",1.1,Banking,Cyber Security Analyst
B.Tech,Data Science,Network Defense,8.16,"Linux, Python, Networking, Risk Assessment, SIEM Tools, Cryptography, Firewalls","CompTIA Security+, ISO 27001 Certification, CISSP",4.1,FinTech,Cyber Security Analyst
B.Sc,Computer Science,Cloud Security,9.43,"Linux, Ethical Hacking, Networking, Python, Firewalls, Penetration Testing, SIEM Tools","CompTIA Security+, CCNA Security, CEH (Certified Ethical Hacker)",0.4,FinTech,Cyber Security Analyst
B.Sc,Computer Science,Cloud Security,7.53,"Linux, Networking, Penetration Testing, Python","CCNA Security, CompTIA Security+",4.3,Government/Defense,Cyber Security Analyst
BCA,Network Security,Network Defense,9.44,"Firewalls, Python, SIEM Tools, Linux, Networking, Ethical Hacking, Cyber Threat Analysis",CCNA Security,2.3,Government/Defense,Cyber Security Analyst
BCA,Data Science,Digital Forensics,7.36,"Networking, Risk Assessment, Ethical Hacking, Linux, Cyber Threat Analysis",Cybersecurity Fundamentals,4.3,Cloud Security,Cyber Security Analyst
B.Tech,Data Science,Network Defense,7.93,"Ethical Hacking, Cryptography, Linux, Penetration Testing, Risk Assessment, Networking","ISO 27001 Certification, CISSP",3.7,Banking,Cyber Security Analyst
B.Sc,Data Science,Information Security,7.3,"Cyber Threat Analysis, Risk Assessment, Cryptography, Networking",ISO 27001 Certification,4.4,FinTech,Cyber Security Analyst
B.Sc,Network Security,Information Security,7.77,"Risk Assessment, Penetration Testing, Cyber Threat Analysis, Linux","CEH (Certified Ethical Hacker), Cybersecurity Fundamentals, CISSP",2.5,Cybersecurity,Cyber Security Analyst
B.Sc,Cybersecurity,Cloud Security,6.6,"Python, Penetration Testing, Linux, Firewalls, Risk Assessment, SIEM Tools, Ethical Hacking","CCNA Security, CEH (Certified Ethical Hacker)",0.6,Banking,Cyber Security Analyst
BCA,Cybersecurity,Information Security,9.82,"Risk Assessment, Networking, Linux, Ethical Hacking, Cyber Threat Analysis, Penetration Testing, SIEM Tools","CEH (Certified Ethical Hacker), ISO 27001 Certification",0.3,FinTech,Cyber Security Analyst
MCA,Information Technology,Digital Forensics,9.64,"Python, Cyber Threat Analysis, SIEM Tools, Firewalls, Ethical Hacking, Penetration Testing",ISO 27001 Certification,2.8,IT Services,Cyber Security Analyst
B.Sc,Computer Science,Digital Forensics,7.45,"SIEM Tools, Risk Assessment, Networking, Cyber Threat Analysis","CISSP, Cybersecurity Fundamentals, CCNA Security",3.2,Cybersecurity,Cyber Security Analyst
MCA,Network Security,Cloud Security,7.42,"Firewalls, Networking, Cryptography, Python","CEH (Certified Ethical Hacker), CCNA Security, CompTIA Security+",4.1,Government/Defense,Cyber Security Analyst
B.Sc,Cybersecurity,Network Defense,9.79,"Cyber Threat Analysis, Python, Penetration Testing, Cryptography, Risk Assessment",Cybersecurity Fundamentals,5.0,Cloud Security,Cyber Security Analyst
BCA,Cybersecurity,Network Defense,8.8,"Cyber Threat Analysis, SIEM Tools, Firewalls, Networking, Risk Assessment, Penetration Testing, Python","ISO 27001 Certification, CEH (Certified Ethical Hacker)",1.6,FinTech,Cyber Security Analyst
M.Tech,Computer Science,Cloud Security,7.1,"Penetration Testing, Ethical Hacking, Networking, Cryptography, Cyber Threat Analysis","CCNA Security, ISO 27001 Certification, CompTIA Security+",0.5,FinTech,Cyber Security Analyst
M.Tech,Network Security,Cloud Security,9.3,"Ethical Hacking, Cyber Threat Analysis, Risk Assessment, Networking, Python, SIEM Tools","CompTIA Security+, Cybersecurity Fundamentals",4.0,Cybersecurity,Cyber Security Analyst
MCA,Cybersecurity,Information Security,6.99,"Python, Cyber Threat Analysis, Firewalls, SIEM Tools, Penetration Testing, Networking, Linux","CEH (Certified Ethical Hacker), Cybersecurity Fundamentals, CCNA Security",2.9,Banking,Cyber Security Analyst
BCA,Cybersecurity,Cyber Security,8.25,"Ethical Hacking, Cryptography, Penetration Testing, Linux, Cyber Threat Analysis, Python, Networking",CompTIA Security+,2.2,FinTech,Cyber Security Analyst
M.Tech,Information Technology,Information Security,9.25,"Firewalls, Risk Assessment, Ethical Hacking, Penetration Testing","CEH (Certified Ethical Hacker), CCNA Security",1.9,FinTech,Cyber Security Analyst
B.Sc,Data Science,Network Defense,7.48,"Cryptography, Ethical Hacking, Python, Penetration Testing, Networking, Firewalls","ISO 27001 Certification, CISSP",1.8,Cybersecurity,Cyber Security Analyst
B.Tech,Data Science,Cyber Security,7.32,"Risk Assessment, Penetration Testing, Ethical Hacking, Networking, Python","CISSP, Cybersecurity Fundamentals, CompTIA Security+",4.2,Government/Defense,Cyber Security Analyst
MCA,Information Technology,Digital Forensics,9.78,"SIEM Tools, Penetration Testing, Ethical Hacking, Networking, Cyber Threat Analysis, Python","CompTIA Security+, ISO 27001 Certification",0.5,Cloud Security,Cyber Security Analyst
B.Sc,Computer Science,Cloud Security,8.25,"SIEM Tools, Penetration Testing, Linux, Firewalls","Cybersecurity Fundamentals, CISSP",1.4,IT Services,Cyber Security Analyst
BCA,Information Technology,Information Security,8.51,"Risk Assessment, Linux, Cyber Threat Analysis, Penetration Testing, Networking","ISO 27001 Certification, CompTIA Security+, CISSP",2.1,Cloud Security,Cyber Security Analyst
BCA,Data Science,Cyber Security,8.43,"Python, Networking, Cryptography, SIEM Tools, Firewalls, Penetration Testing","CCNA Security, CompTIA Security+",2.9,Banking,Cyber Security Analyst
BCA,Data Science,Network Defense,9.39,"Python, Networking, SIEM Tools, Linux, Cryptography","CompTIA Security+, ISO 27001 Certification, CEH (Certified Ethical Hacker)",2.9,Cybersecurity,Cyber Security Analyst
B.Sc,Cybersecurity,Cloud Security,6.52,"Networking, Cryptography, Cyber Threat Analysis, Penetration Testing, Linux","Cybersecurity Fundamentals, CEH (Certified Ethical Hacker), ISO 27001 Certification",2.1,Government/Defense,Cyber Security Analyst
B.Sc,Data Science,Cyber Security,6.84,"Risk Assessment, Ethical Hacking, Firewalls, Linux, Penetration Testing, SIEM Tools","Cybersecurity Fundamentals, CISSP",3.5,IT Services,Cyber Security Analyst
B.Sc,Data Science,Information Security,7.4,"Penetration Testing, Linux, Ethical Hacking, Networking, Cyber Threat Analysis, SIEM Tools, Python","CEH (Certified Ethical Hacker), Cybersecurity Fundamentals, CISSP",2.0,FinTech,Cyber Security Analyst
MCA,Network Security,Network Defense,8.51,"Python, Ethical Hacking, Cryptography, Risk Assessment, Networking, Linux","CompTIA Security+, CCNA Security",0.1,IT Services,Cyber Security Analyst
B.Tech,Cybersecurity,Cloud Security,6.74,"Cryptography, Risk Assessment, Cyber Threat Analysis, Penetration Testing, SIEM Tools, Firewalls, Ethical Hacking","CISSP, ISO 27001 Certification",2.1,Banking,Cyber Security Analyst
B.Sc,Information Technology,Network Defense,9.43,"Firewalls, Cryptography, Penetration Testing, Linux, Cyber Threat Analysis",CISSP,1.9,FinTech,Cyber Security Analyst
B.Tech,Data Science,Cyber Security,9.94,"Firewalls, SIEM Tools, Risk Assessment, Penetration Testing, Cryptography, Ethical Hacking","Cybersecurity Fundamentals, ISO 27001 Certification",2.5,FinTech,Cyber Security Analyst
B.Sc,Network Security,Network Defense,9.38,"Ethical Hacking, Cryptography, Risk Assessment, Penetration Testing, Cyber Threat Analysis, Linux, Python","CISSP, Cybersecurity Fundamentals, CCNA Security",3.5,Banking,Cyber Security Analyst
M.Tech,Information Technology,Digital Forensics,6.9,"Networking, Risk Assessment, Cyber Threat Analysis, Penetration Testing","ISO 27001 Certification, Cybersecurity Fundamentals",1.1,IT Services,Cyber Security Analyst
MCA,Computer Science,Information Security,8.37,"SIEM Tools, Cryptography, Ethical Hacking, Linux, Python, Penetration Testing, Risk Assessment","CEH (Certified Ethical Hacker), Cybersecurity Fundamentals, ISO 27001 Certification",4.8,Government/Defense,Cyber Security Analyst
B.Tech,Data Science,Cyber Security,8.17,"Linux, Penetration Testing, Cryptography, Python, SIEM Tools, Firewalls",CCNA Security,1.2,FinTech,Cyber Security Analyst
B.Tech,Data Science,Digital Forensics,7.88,"Cryptography, Ethical Hacking, Linux, Firewalls, Networking, Cyber Threat Analysis",CISSP,3.2,IT Services,Cyber Security Analyst
MCA,Network Security,Information Security,9.84,"Penetration Testing, Cryptography, Cyber Threat Analysis, Python, Risk Assessment, SIEM Tools",CCNA Security,1.0,Cloud Security,Cyber Security Analyst
B.Sc,Network Security,Information Security,8.55,"Firewalls, SIEM Tools, Python, Cyber Threat Analysis","ISO 27001 Certification, CISSP, CEH (Certified Ethical Hacker)",0.7,Cybersecurity,Cyber Security Analyst
M.Tech,Network Security,Information Security,8.57,"Penetration Testing, Ethical Hacking, SIEM Tools, Networking",CCNA Security,1.6,Cloud Security,Cyber Security Analyst
B.Tech,Network Security,Cloud Security,8.86,"Penetration Testing, Ethical Hacking, Networking, Risk Assessment, Linux","ISO 27001 Certification, CompTIA Security+",0.9,Government/Defense,Cyber Security Analyst
BCA,Network Security,Digital Forensics,6.85,"Cyber Threat Analysis, Linux, Penetration Testing, Networking","CEH (Certified Ethical Hacker), Cybersecurity Fundamentals",3.6,FinTech,Cyber Security Analyst
BCA,Network Security,Cyber Security,9.51,"Cryptography, Networking, Risk Assessment, SIEM Tools, Ethical Hacking, Penetration Testing, Cyber Threat Analysis","ISO 27001 Certification, Cybersecurity Fundamentals",1.6,Cybersecurity,Cyber Security Analyst
MCA,Computer Science,Information Security,8.66,"Cyber Threat Analysis, Python, Firewalls, Linux","Cybersecurity Fundamentals, CISSP",3.4,Banking,Cyber Security Analyst
B.Sc,Data Science,Digital Forensics,7.38,"Penetration Testing, Cyber Threat Analysis, Ethical Hacking, Python, Networking",CCNA Security,4.6,Banking,Cyber Security Analyst
M.Tech,Network Security,Digital Forensics,6.67,"Python, Ethical Hacking, Penetration Testing, Firewalls, Linux",CISSP,4.0,Banking,Cyber Security Analyst
B.Tech,Cybersecurity,Information Security,7.19,"Ethical Hacking, Penetration Testing, Networking, Python, SIEM Tools, Cryptography",CISSP,2.6,Cybersecurity,Cyber Security Analyst
M.Tech,Information Technology,Network Defense,7.34,"Cryptography, Risk Assessment, Ethical Hacking, Penetration Testing, Python","CEH (Certified Ethical Hacker), CompTIA Security+, CCNA Security",3.3,IT Services,Cyber Security Analyst
BCA,Computer Science,Network Defense,9.1,"Python, SIEM Tools, Penetration Testing, Cryptography, Firewalls, Risk Assessment","Cybersecurity Fundamentals, CompTIA Security+",4.3,Government/Defense,Cyber Security Analyst
BCA,Information Technology,Network Defense,6.93,"Cryptography, Firewalls, SIEM Tools, Linux, Cyber Threat Analysis, Python, Risk Assessment","CompTIA Security+, ISO 27001 Certification, CCNA Security",4.3,IT Services,Cyber Security Analyst
MCA,Data Science,Network Defense,8.35,"SIEM Tools, Networking, Linux, Penetration Testing, Cryptography","CEH (Certified Ethical Hacker), ISO 27001 Certification",0.5,Cybersecurity,Cyber Security Analyst
MCA,Computer Science,Cloud Security,6.9,"Networking, Penetration Testing, Firewalls, Cyber Threat Analysis, SIEM Tools",CCNA Security,2.8,FinTech,Cyber Security Analyst
B.Tech,Cybersecurity,Digital Forensics,9.54,"Cyber Threat Analysis, Risk Assessment, Networking, Penetration Testing","Cybersecurity Fundamentals, CEH (Certified Ethical Hacker)",2.1,Banking,Cyber Security Analyst
B.Tech,Computer Science,Cloud Security,7.24,"Python, SIEM Tools, Linux, Cryptography, Penetration Testing, Firewalls, Cyber Threat Analysis","ISO 27001 Certification, CCNA Security",0.5,IT Services,Cyber Security Analyst
BCA,Computer Science,Cyber Security,8.02,"Ethical Hacking, Penetration Testing, SIEM Tools, Networking, Python, Linux, Cyber Threat Analysis","Cybersecurity Fundamentals, CCNA Security, CISSP",4.9,FinTech,Cyber Security Analyst
B.Sc,Network Security,Network Defense,8.88,"Firewalls, Cyber Threat Analysis, SIEM Tools, Ethical Hacking, Networking","CISSP, ISO 27001 Certification, CEH (Certified Ethical Hacker)",0.8,Cloud Security,Cyber Security Analyst
BCA,Computer Science,Network Defense,9.08,"Penetration Testing, Cyber Threat Analysis, SIEM Tools, Cryptography, Networking, Ethical Hacking, Risk Assessment","CCNA Security, CEH (Certified Ethical Hacker)",3.6,Government/Defense,Cyber Security Analyst
BCA,Network Security,Network Defense,9.63,"SIEM Tools, Ethical Hacking, Firewalls, Networking, Cryptography","CompTIA Security+, Cybersecurity Fundamentals",0.2,Cybersecurity,Cyber Security Analyst
B.Sc,Network Security,Information Security,7.26,"SIEM Tools, Python, Firewalls, Cryptography","CCNA Security, ISO 27001 Certification",1.8,Banking,Cyber Security Analyst
BCA,Cybersecurity,Network Defense,6.99,"Risk Assessment, Linux, Cyber Threat Analysis, Penetration Testing",CompTIA Security+,0.9,Cybersecurity,Cyber Security Analyst
M.Tech,Cybersecurity,Digital Forensics,7.82,"Penetration Testing, Linux, Python, Cyber Threat Analysis, Cryptography, Risk Assessment, Networking","Cybersecurity Fundamentals, CISSP",5.0,Cloud Security,Cyber Security Analyst
BCA,Cybersecurity,Cyber Security,8.7,"Cyber Threat Analysis, Ethical Hacking, Risk Assessment, Networking, Linux, SIEM Tools","CompTIA Security+, CCNA Security",1.8,Government/Defense,Cyber Security Analyst
B.Sc,Information Technology,Cyber Security,9.49,"Cyber Threat Analysis, Linux, SIEM Tools, Ethical Hacking","CEH (Certified Ethical Hacker), CISSP",1.2,IT Services,Cyber Security Analyst
B.Tech,Data Science,Information Security,7.32,"Linux, Penetration Testing, Python, Risk Assessment, SIEM Tools, Firewalls","CCNA Security, ISO 27001 Certification, Cybersecurity Fundamentals",3.5,FinTech,Cyber Security Analyst
M.Tech,Computer Science,Cloud Security,7.75,"Linux, Firewalls, Penetration Testing, Ethical Hacking",CompTIA Security+,3.6,Banking,Cyber Security Analyst
BCA,Network Security,Information Security,9.67,"Risk Assessment, Ethical Hacking, Linux, Networking, Firewalls, Penetration Testing, Cyber Threat Analysis","CCNA Security, Cybersecurity Fundamentals",2.5,IT Services,Cyber Security Analyst
B.Tech,Data Science,Cyber Security,7.25,"Firewalls, SIEM Tools, Risk Assessment, Ethical Hacking, Networking, Linux","ISO 27001 Certification, CISSP",4.5,FinTech,Cyber Security Analyst
B.Tech,Computer Science,Digital Forensics,8.69,"Risk Assessment, Networking, Firewalls, SIEM Tools, Cryptography, Linux, Cyber Threat Analysis","CCNA Security, ISO 27001 Certification, CISSP",1.8,Banking,Cyber Security Analyst
MCA,Data Science,Cyber Security,8.42,"SIEM Tools, Penetration Testing, Risk Assessment, Python, Ethical Hacking, Cyber Threat Analysis",ISO 27001 Certification,4.1,FinTech,Cyber Security Analyst
M.Tech,Network Security,Digital Forensics,9.73,"Penetration Testing, Ethical Hacking, Risk Assessment, Firewalls, Linux",Cybersecurity Fundamentals,4.4,Government/Defense,Cyber Security Analyst
B.Tech,Computer Science,Information Security,7.93,"Penetration Testing, Cryptography, Networking, Firewalls, Python, Ethical Hacking, Risk Assessment","CISSP, CompTIA Security+, ISO 27001 Certification",4.7,Banking,Cyber Security Analyst
